2022-04-18 15:50:52,259 | INFO | creation of base server
2022-04-18 15:50:59,099 | INFO | creation of base server
2022-04-18 15:52:44,986 | INFO | creation of base server
2022-04-18 15:55:41,519 | INFO | creation of server keys
2022-04-18 16:07:01,215 | INFO | creation of base server
2022-04-18 16:08:21,568 | INFO | creation of base server
2022-04-18 16:08:47,818 | INFO | creation of base server
2022-04-18 16:13:05,412 | INFO | creation of base server
2022-04-18 16:15:38,554 | INFO | creation of base server
2022-04-20 11:27:26,637 | INFO | creation of base server
2022-04-20 11:27:33,336 | INFO | [+] {client} connected with id {id}
2022-04-20 11:27:33,336 | INFO | creation of server keys
2022-04-20 11:45:53,494 | INFO | creation of base server
2022-04-20 11:47:26,206 | INFO | creation of base server
2022-04-20 11:47:29,075 | INFO | [+] {client} connected with id {id}
2022-04-20 11:47:29,075 | INFO | creation of server keys
2022-04-20 11:48:00,468 | INFO | creation of base server
2022-04-20 11:52:11,542 | INFO | creation of base server
2022-04-20 11:52:25,266 | INFO | [+] {client} connected with id {id}
2022-04-20 11:52:25,267 | INFO | creation of server keys
2022-04-20 11:52:50,884 | INFO | creation of base server
2022-04-20 11:57:35,924 | INFO | creation of base server
2022-04-20 11:57:46,880 | INFO | [+] {client} connected with id {id}
2022-04-20 11:57:46,880 | INFO | creation of server keys
2022-04-30 15:37:00,387 | INFO | creation of base server
2022-04-30 15:38:44,727 | INFO | [+] {client} connected with id {id}
2022-04-30 15:38:44,727 | INFO | creation of server keys
2022-04-30 15:38:51,566 | INFO | [+] {client} connected with id {id}
2022-04-30 15:38:51,566 | INFO | creation of server keys
2022-04-30 15:46:44,047 | INFO | creation of base server
2022-04-30 15:46:54,771 | INFO | [+] {client} connected with id {id}
2022-04-30 15:46:54,771 | INFO | creation of server keys
2022-04-30 15:50:36,166 | INFO | [+] {client} connected with id {id}
2022-04-30 15:50:36,166 | INFO | creation of server keys
2022-04-30 15:51:41,003 | INFO | creation of base server
2022-04-30 15:51:51,802 | INFO | [+] {client} connected with id {id}
2022-04-30 15:51:51,802 | INFO | creation of server keys
2022-04-30 15:55:26,235 | INFO | [+] {client} connected with id {id}
2022-04-30 15:55:26,235 | INFO | creation of server keys
2022-04-30 16:02:08,469 | INFO | [+] {client} connected with id {id}
2022-04-30 16:02:08,469 | INFO | creation of server keys
2022-04-30 16:07:37,087 | INFO | creation of base server
2022-04-30 16:07:40,127 | INFO | [+] {client} connected with id {id}
2022-04-30 16:07:40,127 | INFO | creation of server keys
2022-04-30 16:07:44,456 | INFO | [+] {client} connected with id {id}
2022-04-30 16:07:44,456 | INFO | creation of server keys
2022-04-30 16:07:49,424 | INFO | [+] {client} connected with id {id}
2022-04-30 16:07:49,424 | INFO | creation of server keys
2022-04-30 16:08:28,042 | INFO | [+] {client} connected with id {id}
2022-04-30 16:08:28,042 | INFO | creation of server keys
2022-04-30 16:08:29,464 | INFO | [+] {client} connected with id {id}
2022-04-30 16:08:29,464 | INFO | creation of server keys
2022-04-30 16:10:10,520 | INFO | [+] {client} connected with id {id}
2022-04-30 16:10:10,520 | INFO | creation of server keys
2022-04-30 16:10:26,644 | INFO | [+] {client} connected with id {id}
